SKU,SalePrice
43350001,1.94
42609001,15.74
42449001,6.58
44023001,1.64
43526001,9.44
42609001,15.74
42443001,6.58
43529001,7.48
42462001,1.77
43913001,5.86
42857001,2.54
42200001,1.76
42368001,4.38
42118001,1.11
43474001,6.44
43046001,4.94
43729001,2.0
43172001,3.56
42352001,8.98
43642001,1.44
42895001,3.75
42172001,4.5
43231001,3.28
43958001,3.0
42226001,2.61
42888001,3.75
42662001,2.54
42795001,2.98
42283001,11.98
43412001,4.49
43484001,6.28
43580001,1.22
43806001,3.33
44066001,2.08
42256001,4.1
43738001,7.48
43945001,5.36
42123001,4.76
43643001,4.46
43858001,8.24
43694001,10.48
42490001,2.36
42377001,1.02
42769001,5.98
42190001,5.1
42128001,1.74
43249001,10.48
42196001,1.02
43631001,7.48
43175001,3.2
43743001,5.72
43135001,3.27
43465001,4.94
43594001,11.24
43977001,1.94
42355001,5.54
42360001,2.84
43977001,1.94
42101001,10.94
42223001,1.1
43100001,4.06
42883001,3.75
42848001,2.98
43761001,2.2
43240001,4.46
42998001,4.81
42358001,2.84
42833001,2.28
44090001,4.49
42597001,1.5
42423001,2.5
42510001,29.98
42365001,1.4
42758001,4.17
43890001,1.92
42308001,4.49
43784001,2.76
43912001,5.74
42257001,3.33
43928001,3.5
42422001,7.94
43704001,5.84
42082001,2.68
42398001,7.48
43115001,1.86
42411001,2.5
43584001,3.88
42782001,3.28
43607001,7.18
42218001,3.88
43678001,2.6
42514001,6.44
43079001,3.4
43130001,5.68
42855001,2.98
43147001,3.94
42356001,2.84
43558001,5.76
42479001,2.58
43868001,2.54
43717001,1.5
42355001,5.54
42360001,2.84
42342001,10.48
42992001,2.58
43202001,4.4
43055001,3.53
42881001,3.75
42629001,5.24
42244001,5.38
43127001,4.34
42917001,3.75
42536001,13.48
42489001,2.86
43487001,6.28
42324001,10.48
42407001,4.78
42123001,4.76
43897001,4.14
43990001,5.97
43661001,5.26
42624001,7.94
42544001,3.28
42469001,1.69
43197001,4.11
42672001,4.94
43394001,5.68
43388001,5.68
42566001,5.68
42581001,5.68
